Apr 24 21:33:18: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/WikiStart
Apr 24 21:33:18: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:33:24: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): 
Apr 24 21:33:24: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:33:30: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/edit?p=mypage
Apr 24 21:33:30: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:33:33: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/WikiStart
Apr 24 21:33:33: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:33:35: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): 
Apr 24 21:33:35: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:35:06: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/
Apr 24 21:35:06: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/WikiStart
Apr 24 21:35:06: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:35:08: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/edit?p=WikiStart
Apr 24 21:35:08: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:46:19: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/edit?p=WikiStart
Apr 24 21:46:19: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:46:29: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/WikiStart
Apr 24 21:46:29: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:58:48: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/WikiStart
Apr 24 21:58:48: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/style.css
Apr 24 21:58:48: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): favicon.ico
Apr 24 21:58:49: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/WikiStart
Apr 24 21:58:49: access: connection for localhost from ::1 (Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Iron/9.0.600.2 Chrome/9.0.600.2 Safari/534.13): miniwiki/style.css
